order_book_id,date,prev_close,low,volume,close,high,total_turnover,open
000941.XSHG,2012-01-04,1256.259,1217.41,139530200.0,1218.971,1270.572,1439116721.0,1264.987
000941.XSHG,2012-01-05,1218.971,1166.9160000000004,134955500.0,1171.947,1212.415,1385370334.0,1208.137
000941.XSHG,2012-01-06,1171.947,1160.744,102157200.0,1186.99,1189.643,1018369342.0,1167.576
000941.XSHG,2012-01-09,1186.99,1174.213,158236000.0,1238.112,1238.603,1633856279.0,1190.611
000941.XSHG,2012-01-10,1238.112,1232.795,288702700.0,1306.028,1306.028,3072144282.0,1236.085
000941.XSHG,2012-01-11,1306.028,1294.978,244911500.0,1303.23,1318.567,2695805864.0,1303.318
000941.XSHG,2012-01-12,1303.23,1300.101,238016800.0,1306.735,1333.435,2815938809.0,1301.109
000941.XSHG,2012-01-13,1306.735,1252.143,202779200.0,1270.885,1309.721,2256220419.0,1305.495
000941.XSHG,2012-01-16,1270.885,1228.947,115202800.0,1229.253,1268.564,1266463143.0,1257.016
000941.XSHG,2012-01-17,1229.253,1223.738,214753300.0,1308.118,1308.362,2301021357.0,1227.302
000941.XSHG,2012-01-18,1308.118,1285.0510000000004,223195600.0,1289.364,1334.558,2574834257.0,1313.256
000941.XSHG,2012-01-19,1289.364,1274.721,166589100.0,1298.838,1311.082,1882245246.0,1290.333
000941.XSHG,2012-01-20,1298.838,1296.234,140892400.0,1310.441,1316.481,1564413910.0,1304.914
000941.XSHG,2012-01-30,1310.441,1297.938,126943100.0,1304.5839999999996,1326.936,1451056739.0,1315.433
000941.XSHG,2012-01-31,1304.5839999999996,1279.553,117020500.0,1294.191,1302.9,1320138529.0,1296.702
000941.XSHG,2012-02-01,1294.191,1274.975,115932100.0,1279.822,1311.567,1339207413.0,1293.843
000941.XSHG,2012-02-02,1279.822,1278.422,137771100.0,1310.787,1310.787,1544894982.0,1282.181
000941.XSHG,2012-02-03,1310.787,1295.96,197908000.0,1319.244,1323.072,2482657627.0,1307.671
000941.XSHG,2012-02-06,1319.244,1315.839,237996000.0,1338.865,1344.091,2763575081.0,1321.693
000941.XSHG,2012-02-07,1338.865,1299.0,156549100.0,1309.099,1327.148,1863318806.0,1327.148
000941.XSHG,2012-02-08,1309.099,1302.453,191470000.0,1345.187,1345.531,2394374222.0,1307.068
000941.XSHG,2012-02-09,1345.187,1340.259,237179900.0,1352.43,1370.059,2877439784.0,1342.581
000941.XSHG,2012-02-10,1352.43,1342.986,191316600.0,1352.585,1363.55,2237408386.0,1347.523
000941.XSHG,2012-02-13,1352.585,1334.287,212488600.0,1368.945,1376.2620000000006,2500921892.0,1339.0970000000002
000941.XSHG,2012-02-14,1368.945,1353.1370000000004,169462300.0,1362.844,1372.736,1968447307.0,1367.225
000941.XSHG,2012-02-15,1362.844,1357.535,225270400.0,1386.868,1387.026,2592476066.0,1362.622
000941.XSHG,2012-02-16,1386.868,1372.4,229321700.0,1388.6129999999994,1393.1660000000006,2665951467.0,1385.279
000941.XSHG,2012-02-17,1388.6129999999994,1370.118,168142200.0,1380.368,1396.787,1918410294.0,1391.184
000941.XSHG,2012-02-20,1380.368,1374.815,170551600.0,1374.815,1398.558,2148200254.0,1398.5510000000006
000941.XSHG,2012-02-21,1374.815,1359.2479999999996,223319100.0,1402.126,1402.236,2784401995.0,1374.7579999999994
000941.XSHG,2012-02-22,1402.126,1391.395,265809500.0,1419.172,1420.804,3317129936.0,1399.392
000941.XSHG,2012-02-23,1419.172,1404.605,220424100.0,1417.11,1427.6029999999994,2656626970.0,1415.366
000941.XSHG,2012-02-24,1417.11,1410.8239999999994,273154000.0,1435.783,1435.963,3224384416.0,1417.164
000941.XSHG,2012-02-27,1435.783,1435.2120000000002,355813500.0,1436.644,1461.626,4238061935.0,1444.876
000941.XSHG,2012-02-28,1436.644,1409.444,233778500.0,1424.287,1436.277,2715080185.0,1428.725
000941.XSHG,2012-02-29,1424.287,1405.6629999999998,171225100.0,1407.507,1426.912,1961244623.0,1421.007
000941.XSHG,2012-03-01,1407.507,1402.058,143945600.0,1412.273,1420.1660000000006,1737970333.0,1405.073
000941.XSHG,2012-03-02,1412.273,1413.69,209327600.0,1437.672,1437.777,2465667689.0,1413.69
000941.XSHG,2012-03-05,1437.672,1429.445,244394400.0,1430.911,1447.241,2838490437.0,1442.376
000941.XSHG,2012-03-06,1430.911,1403.361,275176800.0,1414.335,1427.517,3116324295.0,1426.625
000941.XSHG,2012-03-07,1414.335,1396.225,215653000.0,1408.602,1424.4129999999998,2563977540.0,1399.3010000000006
000941.XSHG,2012-03-08,1408.602,1413.045,243507300.0,1426.953,1432.4129999999998,2952149257.0,1413.128
000941.XSHG,2012-03-09,1426.953,1422.132,237578000.0,1449.1329999999994,1449.3929999999998,2802566980.0,1434.804
000941.XSHG,2012-03-12,1449.1329999999994,1452.269,247226100.0,1462.014,1467.9489999999994,3134774416.0,1457.114
000941.XSHG,2012-03-13,1462.014,1463.198,284085200.0,1490.0020000000006,1490.497,3739706726.0,1464.201
000941.XSHG,2012-03-14,1490.0020000000006,1408.349,396182900.0,1419.76,1497.598,5197017685.0,1495.878
000941.XSHG,2012-03-15,1419.76,1382.936,246913500.0,1398.149,1428.414,3093599390.0,1415.634
000941.XSHG,2012-03-16,1398.149,1390.767,197723300.0,1427.289,1427.515,2509456338.0,1401.829
000941.XSHG,2012-03-19,1427.289,1408.693,164159400.0,1435.598,1435.6729999999998,2206109864.0,1420.649
000941.XSHG,2012-03-20,1435.598,1401.937,160564600.0,1402.317,1434.546,1990409125.0,1434.0120000000006
000941.XSHG,2012-03-21,1402.317,1386.678,155323600.0,1405.871,1418.632,1999721906.0,1410.787
000941.XSHG,2012-03-22,1405.871,1386.194,140931400.0,1395.79,1407.03,1856371787.0,1404.8670000000006
000941.XSHG,2012-03-23,1395.79,1357.912,134924700.0,1362.148,1391.205,1654714237.0,1391.205
000941.XSHG,2012-03-26,1362.148,1340.876,87460900.0,1350.713,1365.58,1103309291.0,1358.409
000941.XSHG,2012-03-27,1350.713,1342.911,106311600.0,1348.88,1363.179,1292643510.0,1355.987
000941.XSHG,2012-03-28,1348.88,1287.256,164141800.0,1288.716,1346.026,1906222971.0,1346.026
000941.XSHG,2012-03-29,1288.716,1248.675,129657200.0,1254.845,1291.072,1495090640.0,1291.072
