order_book_id,date,open,volume,close,low,total_turnover,prev_close,high
399976.XSHE,2012-01-04,1008.604,292863885.0,971.744,971.744,3638701016.0,,1011.259
399976.XSHE,2012-01-05,967.703,320055076.0,936.539,935.04,3745478140.0,971.744,967.794
399976.XSHE,2012-01-06,935.16,342775005.0,950.165,918.42,4127791489.0,936.539,950.165
399976.XSHE,2012-01-09,950.212,427893111.0,994.14,938.038,5219943023.0,950.165,994.14
399976.XSHE,2012-01-10,993.584,600026184.0,1034.753,990.426,7292077023.0,994.14,1038.556
399976.XSHE,2012-01-11,1033.615,534200728.0,1045.483,1026.669,6705187548.0,1034.753,1052.098
399976.XSHE,2012-01-12,1039.82,459197439.0,1047.567,1036.598,5954676655.0,1045.483,1061.117
399976.XSHE,2012-01-13,1045.04,422233391.0,1014.167,1003.43,5605823329.0,1047.567,1049.493
399976.XSHE,2012-01-16,1000.775,299045071.0,966.523,966.523,3842669255.0,1014.167,1006.597
399976.XSHE,2012-01-17,964.252,463047053.0,1033.067,964.069,6006082818.0,966.523,1033.067
399976.XSHE,2012-01-18,1038.31,510262326.0,1012.41,1008.252,7046342060.0,1033.067,1057.965
399976.XSHE,2012-01-19,1008.593,344434649.0,1027.09,1002.245,4568580638.0,1012.41,1030.184
399976.XSHE,2012-01-20,1029.528,315759713.0,1030.861,1019.019,3966233600.0,1027.09,1035.544
399976.XSHE,2012-01-30,1035.491,254667122.0,1024.451,1022.571,3300740971.0,1030.861,1041.705
399976.XSHE,2012-01-31,1025.649,307340245.0,1031.284,1020.633,4480702520.0,1024.451,1034.454
399976.XSHE,2012-02-01,1027.388,277798596.0,1014.78,1011.38,3842110588.0,1031.284,1036.737
399976.XSHE,2012-02-02,1016.026,310117027.0,1036.627,1013.735,4117769949.0,1014.78,1036.627
399976.XSHE,2012-02-03,1035.116,430788747.0,1055.803,1032.103,5525073009.0,1036.627,1057.508
399976.XSHE,2012-02-06,1057.765,434676670.0,1066.778,1057.388,5706214300.0,1055.803,1069.31
399976.XSHE,2012-02-07,1060.955,335206042.0,1044.687,1036.47,4446373352.0,1066.778,1060.955
399976.XSHE,2012-02-08,1042.561,501407104.0,1079.504,1038.4160000000004,7184253140.0,1044.687,1079.504
399976.XSHE,2012-02-09,1077.88,597382348.0,1083.344,1075.619,7799753459.0,1079.504,1095.743
399976.XSHE,2012-02-10,1080.454,425023844.0,1084.182,1074.431,5413952685.0,1083.344,1090.417
399976.XSHE,2012-02-13,1074.433,455208664.0,1097.354,1070.029,5846061807.0,1084.182,1103.257
399976.XSHE,2012-02-14,1095.14,391599720.0,1095.048,1085.567,4853045867.0,1097.354,1097.898
399976.XSHE,2012-02-15,1092.427,517269029.0,1111.2089999999996,1087.901,6536782790.0,1095.048,1113.672
399976.XSHE,2012-02-16,1109.597,573102742.0,1115.279,1102.61,6859708398.0,1111.2089999999996,1121.778
399976.XSHE,2012-02-17,1118.054,486337606.0,1116.76,1107.771,6419271205.0,1115.279,1128.377
399976.XSHE,2012-02-20,1130.497,515554774.0,1115.53,1115.53,6704117961.0,1116.76,1131.095
399976.XSHE,2012-02-21,1115.755,445874829.0,1127.13,1101.226,5992621970.0,1115.53,1127.13
399976.XSHE,2012-02-22,1128.104,589327003.0,1149.057,1126.517,7807932443.0,1127.13,1149.057
399976.XSHE,2012-02-23,1150.786,622708764.0,1150.634,1141.986,8305674558.0,1149.057,1162.654
399976.XSHE,2012-02-24,1150.015,601005538.0,1160.001,1145.673,7945822977.0,1150.634,1160.318
399976.XSHE,2012-02-27,1168.5,835256038.0,1170.006,1167.698,11282193782.0,1160.001,1188.715
399976.XSHE,2012-02-28,1162.797,836712655.0,1159.882,1146.918,10203460918.0,1170.006,1168.39
399976.XSHE,2012-02-29,1154.906,533250233.0,1143.956,1142.336,7059069695.0,1159.882,1162.5739999999996
399976.XSHE,2012-03-01,1138.355,420926788.0,1151.767,1138.326,5413089218.0,1143.956,1157.686
399976.XSHE,2012-03-02,1155.502,538973895.0,1173.18,1155.502,7143340136.0,1151.767,1173.18
399976.XSHE,2012-03-05,1175.682,605022689.0,1172.082,1170.783,8607930835.0,1173.18,1182.435
399976.XSHE,2012-03-06,1170.13,556791031.0,1161.607,1153.997,8073531987.0,1172.082,1172.342
399976.XSHE,2012-03-07,1147.589,487849483.0,1153.637,1144.367,6864596561.0,1161.607,1166.392
399976.XSHE,2012-03-08,1158.735,559107164.0,1176.346,1158.735,8558278170.0,1153.637,1181.745
399976.XSHE,2012-03-09,1179.804,548406801.0,1194.233,1173.518,8664081281.0,1176.346,1194.233
399976.XSHE,2012-03-12,1196.349,665517084.0,1208.764,1195.203,8969962740.0,1194.233,1208.764
399976.XSHE,2012-03-13,1207.781,663155424.0,1215.184,1196.0739999999996,8493562258.0,1208.764,1215.184
399976.XSHE,2012-03-14,1221.656,1072923781.0,1168.61,1159.11,14604618345.0,1215.184,1229.405
